month,gross1,gross5,debt1,net1,net5,ltv1
1,2984.9397093732596,2958.2954766931816,7.969606844689803,2976.97010252857,2958.2954766931816,0.002669938967163649
2,2812.491711688886,2844.532342955042,7.989262045148006,2804.502449643738,2844.532342955042,0.0028406348761648432
3,2802.731575092052,2816.5789252971704,8.008965720632968,2794.722609371419,2816.5789252971704,0.002857557174511057
4,2637.401358681587,2626.561972530179,8.028717990697182,2629.37264069089,2626.561972530179,0.0030441775440316994
5,2630.7614639397925,2484.8946587394944,8.048518975187989,2622.7129449646045,2484.8946587394944,0.003059387590060954
6,2622.347834399536,2428.8370551362377,8.068368794248308,2614.279465605288,2428.8370551362377,0.00307677291639528
7,2725.913591315805,2549.226236812313,8.088267568317361,2717.825323747488,2549.226236812313,0.0029671768004990704
8,2686.734618702864,2578.8098282497535,8.108215418131406,2678.6264032847325,2578.8098282497535,0.0030178698564750674
9,2483.92822949088,2378.369789327152,8.12821246472447,2475.8000170261553,2378.369789327152,0.0032723217878120716
10,2453.7163959087316,2346.3759774345704,8.148258829429082,2445.5681370793027,2346.3759774345704,0.0033207826475037195
11,2519.191944571915,2374.6451370714312,8.16835463387701,2511.023589938038,2374.6451370714312,0.0032424502831065755
12,2189.410441553778,2243.360117955405,8.188499999999998,2181.221941553778,2243.360117955405,0.0037400479346343086
13,1949.6826612106026,1785.2050509866958,11.550495997811574,1938.132165212791,1785.2050509866958,0.005924295387968217
14,1917.0909780976076,1697.3202665742322,11.57898263694609,1905.5119954606614,1697.3202665742322,0.006039871226370433
15,2082.668972587026,1750.1210462817048,11.60753953181762,2071.0614330552085,1750.1210462817048,0.005573396293218456
16,2061.3221059722887,1634.08957180399,11.636166855695762,2049.685939116593,1634.08957180399,0.005645001730676726
17,2064.5691354933156,1565.589798906695,11.664864782277448,2052.904270711038,1565.589798906695,0.005650023814528353
18,2115.4577917360803,1621.8440288169866,11.693633485687988,2103.7641582503925,1621.8440288169866,0.0055277082489513735
19,2239.8593986776905,1739.6625778488053,11.722473140482139,2228.1369255372083,1739.6625778488053,0.005233575441120342
20,2351.9406997621395,1861.5781386796525,11.751383921645152,2340.189315840494,1861.5781386796525,0.004996462675625118
21,2367.945805827647,1849.1087381180805,11.78036600459384,2356.165439823053,1849.1087381180805,0.004974930581435479
22,2539.933471649734,2005.5070184334177,11.809419565177645,2528.1240520845568,2005.5070184334177,0.004649499562485472
23,2544.9367040722254,2057.7482585233906,11.838544779679694,2533.098159292546,2057.7482585233906,0.004651803229815697
24,2619.732400128351,2088.6757272404325,11.867741824817882,2607.864658303533,2088.6757272404325,0.004530135148245079
25,2522.990730388748,1993.957754462679,8.065727900229472,2514.9250024885187,1993.957754462679,0.0031968916108489572
26,2587.333197370964,2060.457392881189,8.085620161141435,2579.247577209823,2060.457392881189,0.003125078814494159
27,2644.254391453128,2071.5899902333417,8.105561481735187,2636.148829971393,2071.5899902333417,0.0030653485942707817
28,2561.544515397692,1977.7797625555645,8.125551983005138,2553.418963414687,1977.7797625555645,0.0031721299138709707
29,2571.6056900829035,2016.9977283326918,8.145591786244106,2563.4600982966595,2016.9977283326918,0.0031675119625285586
30,2665.33858218143,2117.291495960162,8.165681013044045,2657.172901168386,2117.291495960162,0.003063656177730671
31,2687.5967400230734,2078.3066554259085,8.18581978529679,2679.4109202377767,2078.3066554259085,0.003045776795080691
32,2593.388741728619,1938.0505976501736,8.206008225194793,2585.1827335034245,1938.0505976501736,0.0031642029184275285
33,2622.232868783889,1909.7100990222234,8.226246455231866,2614.006622328657,1909.7100990222234,0.00313711514837618
34,2725.947043036371,2043.4929440954406,8.246534598203924,2717.7005084381667,2043.4929440954406,0.003025199854586425
35,2727.6570357858463,1975.2813564424373,8.26687277720973,2719.3901630086366,1975.2813564424373,0.0030307596111796434
36,2824.9766358564398,2090.890432397125,8.287261115651644,2816.689374740788,2090.890432397125,0.0029335680198074345
37,2742.4366492233858,2041.3411846726494,0.0,2742.4366492233858,2041.3411846726494,0.0
38,2720.4835430623575,1980.9294634298974,0.0,2720.4835430623575,1980.9294634298974,0.0
39,2725.8435921059895,2012.5048983342074,0.0,2725.8435921059895,2012.5048983342074,0.0
40,2762.760364855588,2031.8002135655424,0.0,2762.760364855588,2031.8002135655424,0.0
41,2779.57223904823,2144.5475336484155,0.0,2779.57223904823,2144.5475336484155,0.0
42,2762.8142742323535,2120.7427211186146,0.0,2762.8142742323535,2120.7427211186146,0.0
43,2803.938757451011,2142.4935545945077,0.0,2803.938757451011,2142.4935545945077,0.0
44,2815.8435216122703,2102.521091384475,0.0,2815.8435216122703,2102.521091384475,0.0
45,2759.7068967374094,2086.199027051004,0.0,2759.7068967374094,2086.199027051004,0.0
46,2799.002361049682,2042.7757787013518,0.0,2799.002361049682,2042.7757787013518,0.0
47,2673.0079864417503,1926.170688686408,0.0,2673.0079864417503,1926.170688686408,0.0
48,2686.2639899151354,1834.5005278422113,0.0,2686.2639899151354,1834.5005278422113,0.0
49,2703.9277356423568,1885.399192159377,0.0,2703.9277356423568,1885.399192159377,0.0
50,2597.023150802628,1897.4461009518375,0.0,2597.023150802628,1897.4461009518375,0.0
51,2654.279085192614,1874.706893318825,0.0,2654.279085192614,1874.706893318825,0.0
52,2758.4863812100784,1933.317994387811,0.0,2758.4863812100784,1933.317994387811,0.0
53,2885.4762137288226,1999.7699611812607,0.0,2885.4762137288226,1999.7699611812607,0.0
54,2879.3091565460495,2019.8596187371957,0.0,2879.3091565460495,2019.8596187371957,0.0
55,2809.951358488731,1976.392693378008,0.0,2809.951358488731,1976.392693378008,0.0
56,2781.8087275457065,1851.5841583401966,0.0,2781.8087275457065,1851.5841583401966,0.0
57,2833.024255507222,1947.252115445836,0.0,2833.024255507222,1947.252115445836,0.0
58,2895.775222070839,1966.8793284051771,0.0,2895.775222070839,1966.8793284051771,0.0
59,2943.0599372744696,2003.2487075250772,0.0,2943.0599372744696,2003.2487075250772,0.0
60,2963.318165173662,2017.1210588548843,0.0,2963.318165173662,2017.1210588548843,0.0
61,2791.817086185355,1923.6498119000946,0.0,2791.817086185355,1923.6498119000946,0.0
62,2836.7800909600437,1941.6242572588844,0.0,2836.7800909600437,1941.6242572588844,0.0
63,2843.693736151298,1992.3927559382278,0.0,2843.693736151298,1992.3927559382278,0.0
64,2901.744492392545,2098.267365779873,0.0,2901.744492392545,2098.267365779873,0.0
65,2933.0082668468062,2098.8114879857035,0.0,2933.0082668468062,2098.8114879857035,0.0
66,2923.952642384669,2106.7385494241776,0.0,2923.952642384669,2106.7385494241776,0.0
67,2967.4615755175573,2126.8214791356954,0.0,2967.4615755175573,2126.8214791356954,0.0
68,3012.5444992005664,2153.8855967574914,0.0,3012.5444992005664,2153.8855967574914,0.0
69,2926.444810879204,2102.6293012194233,0.0,2926.444810879204,2102.6293012194233,0.0
70,3055.69921288801,2258.179724480718,0.0,3055.69921288801,2258.179724480718,0.0
71,3030.9824616820374,2209.3309652736075,0.0,3030.9824616820374,2209.3309652736075,0.0
72,3014.994204452562,2226.7820589125654,0.0,3014.994204452562,2226.7820589125654,0.0
73,3040.921654514047,2219.1376838938854,0.0,3040.921654514047,2219.1376838938854,0.0
74,3080.5705913270453,2263.16175532791,0.0,3080.5705913270453,2263.16175532791,0.0
75,3225.8652464611578,2395.8816949962456,0.0,3225.8652464611578,2395.8816949962456,0.0
76,3239.56085864672,2326.573357335881,0.0,3239.56085864672,2326.573357335881,0.0
77,3332.693768585301,2435.6749998183222,0.0,3332.693768585301,2435.6749998183222,0.0
78,3286.402949630508,2394.17777769732,0.0,3286.402949630508,2394.17777769732,0.0
79,3275.8595270832925,2389.6042853544295,0.0,3275.8595270832925,2389.6042853544295,0.0
