year,shared_spending,dividend1,new_debt1,repay1,debt1_before_interest
1,102.0,94.05000000000001,7.949999999999989,0.0,7.949999999999989
2,116.21269144849498,94.05000000000001,22.162691448494968,0.0,30.351191448494966
3,111.46245307242688,94.05000000000001,17.41245307242687,0.0,48.674180264376716
4,110.05937584223818,94.05000000000001,16.00937584223817,0.0,66.14378151454623
5,101.83864804684629,94.05000000000001,7.788648046846276,0.0,75.91674300682894
6,92.15024570123362,94.05000000000001,0.0,1.8997542987663962,76.2944909982675
7,91.83281928397773,94.05000000000001,0.0,2.217180716022284,76.36614501219333
8,91.86570012161542,94.05000000000001,0.0,2.184299878384593,76.47282948417462
9,98.79119654705748,94.05000000000001,4.74119654705747,0.0,83.50821091575743
10,105.33796156163392,94.05000000000001,11.287961561633907,0.0,97.30141880486416
11,112.0469906551938,94.05000000000001,17.996990655193784,0.0,118.21745202420395
12,107.16571274796607,94.05000000000001,13.115712747966057,0.0,134.87968833289625
13,112.41995158895423,94.05000000000001,18.369951588954223,0.0,157.2960305718375
14,122.41065988002973,94.05000000000001,28.360659880029715,0.0,190.37557136902248
15,118.32979051974755,94.05000000000001,24.279790519747536,0.0,220.3666290298409
16,120.24177190855312,94.05000000000001,26.191771908553108,0.0,253.16939980928947
17,129.69449804383783,94.05000000000001,35.644498043837814,0.0,296.4089798474063
18,142.89007613033917,94.05000000000001,48.840076130339156,0.0,354.1413253731679
19,165.4103613007774,94.05000000000001,71.36036130077738,0.0,436.12592643514074
20,165.67344400329046,94.05000000000001,71.62344400329044,0.0,520.8331482314859
21,196.38397147014763,94.05000000000001,102.33397147014762,0.0,638.7921141485785
