month,gross1,gross5,debt1,net1,net5,ltv1
1,2901.8057905597916,2933.847225141637,7.969606844689803,2893.836183715102,2933.847225141637,0.002746430126584169
2,2881.5960836542135,2993.368596575418,7.989262045148006,2873.6068216090657,2993.368596575418,0.002772512806519591
3,2978.430527000373,3065.2891832294545,8.008965720632968,2970.4215612797398,3065.2891832294545,0.002688988595849147
4,3082.8752746452255,3128.8631269887233,8.028717990697182,3074.8465566545283,3128.8631269887233,0.0026042954305445
5,3167.6432434475764,3251.5521384716117,8.048518975187989,3159.5947244723884,3251.5521384716117,0.002540853990371782
6,3254.037498809574,3240.0433348487786,8.068368794248308,3245.969130015326,3240.0433348487786,0.002479494719160416
7,3295.3753728097963,3332.217810065144,8.088267568317361,3287.287105241479,3332.217810065144,0.0024544298155086694
8,3317.018060859563,3412.6990573579073,8.108215418131406,3308.9098454414316,3412.6990573579073,0.0024444290834009707
9,3378.050521093117,3369.647431254812,8.12821246472447,3369.9223086283923,3369.647431254812,0.0024061843995436248
10,3376.658876302145,3444.856543734843,8.148258829429082,3368.510617472716,3444.856543734843,0.0024131128218531873
11,3446.6565729866243,3599.5929066150393,8.16835463387701,3438.4882183527475,3599.5929066150393,0.0023699357510397106
12,3490.988517375259,3679.9400295102846,8.188499999999998,3482.800017375259,3679.9400295102846,0.002345610694290286
13,3524.1182407147016,3517.3676762984264,30.42604567451779,3493.692195040184,3517.3676762984264,0.008633661981882678
14,3604.480189956803,3448.0726339737175,30.501084511255584,3573.9791054455472,3448.0726339737175,0.008461992549228331
15,3601.1495060124225,3481.306336071371,30.576308414008174,3570.5731975984145,3481.306336071371,0.008490707859520536
16,3719.3521225317363,3596.5345985933554,30.651717839198277,3688.700404692538,3596.5345985933554,0.008241144379288797
17,3839.365501188012,3672.256085083505,30.727313244374272,3808.6381879436376,3672.256085083505,0.00800322689644066
18,3554.8437558797814,3529.6141975881574,30.80309508821298,3524.0406607915684,3529.6141975881574,0.008665105192672409
19,3539.6926071566445,3494.319960046472,30.879063830522437,3508.8135433261223,3494.319960046472,0.008723656898367481
20,3270.372524417191,3256.323882632217,30.95521993224469,3239.4173044849463,3256.323882632217,0.009465349803769276
21,3315.2275577172486,3080.1491002766766,31.0315638554586,3284.19599386179,3080.1491002766766,0.009360311868554166
22,3319.289009940529,3010.3654726524223,31.10809606338263,3288.1809138771464,3010.3654726524223,0.009371915482568957
23,3467.634721023751,3161.1800089270814,31.18481702037767,3436.4499040033734,3161.1800089270814,0.0089931090005844
24,3413.4561605487334,3198.300800901906,31.26172719194985,3382.1944333567835,3198.300800901906,0.009158379578229105
25,3011.775576388173,2845.711555899733,48.79422392385441,2962.981352464318,2845.711555899733,0.01620114868663958
26,2946.200964379303,2807.039315755163,48.91456364338083,2897.286400735922,2807.039315755163,0.016602588972977953
27,3020.328595743264,2840.589034645565,49.03520015311992,2971.293395590144,2840.589034645565,0.016235054762660017
28,2577.1659916226777,2682.1649730619015,49.15613418503642,2528.009857437641,2682.1649730619015,0.019073716766720924
29,2356.8490704009055,2229.9549478134204,49.27736647290028,2307.5717039280053,2229.9549478134204,0.020908155338312813
30,2288.166781609656,2119.7744214424974,49.39889775229113,2238.7678838573647,2119.7744214424974,0.02158885364009196
31,2469.5145478342884,2186.0282844698077,49.52072876060272,2419.9938190736857,2186.0282844698077,0.020052819208549042
32,2429.851237394846,2040.4345963142205,49.642860237047444,2380.2083771577986,2040.4345963142205,0.020430411324387006
33,2447.5778594320823,1954.3200070865698,49.76529292266077,2397.8125665094217,1954.3200070865698,0.020332465719479886
34,2543.3680712529717,2025.0542040989799,49.888027560305765,2493.480043692666,2025.0542040989799,0.01961494607256306
35,2730.2838375389056,2172.854090715318,50.0110648946776,2680.272772644228,2172.854090715318,0.01831716695790789
36,2905.5494888522876,2325.7400949977264,50.13440567230806,2855.4150831799793,2325.7400949977264,0.01725470719554376
37,2800.893504628314,2200.4940360075525,66.30690992352142,2734.586594704793,2200.4940360075525,0.023673484841159827
38,3029.7893327832894,2388.6580478356386,66.47044065116066,2963.318892132129,2388.6580478356386,0.021938964512129355
39,3020.1739580801996,2451.4128399176006,66.63437468969032,2953.539583390509,2451.4128399176006,0.02206309160153379
40,3149.9363496013016,2489.2966907954847,66.79871303378386,3083.137636567518,2489.2966907954847,0.021206369151630256
41,3134.8865286552577,2483.3708118817704,66.96345668056786,3067.9230719746897,2483.3708118817704,0.021360727435736734
42,3227.2826041532853,2566.8892056923955,67.12860662962811,3160.1539975236574,2566.8892056923955,0.02080034966359572
43,3338.1992665614584,2580.956225425193,67.29416388301563,3270.9051026784427,2580.956225425193,0.020158821720769406
44,3202.501210387657,2463.417751305176,67.46012944525276,3135.0410809424043,2463.417751305176,0.021064825588961084
45,3206.2958314726243,2512.5365431799473,67.62650432333928,3138.669327149285,2512.5365431799473,0.021091785623623818
46,3350.7138642200093,2638.325599610428,67.79328952675849,3282.9205746932507,2638.325599610428,0.02023249142538754
47,3382.4172726024685,2589.695418335339,67.96048606748336,3314.456786534985,2589.695418335339,0.02009228329631661
48,3230.2448736968363,2413.636851937865,68.12809495998266,3162.1167787368536,2413.636851937865,0.021090690527747463
49,3151.8101448156426,2277.5108392103843,76.10397417531843,3075.706170640324,2277.5108392103843,0.024146116256558322
50,3300.418856827815,2438.615194198029,76.2916671063792,3224.127189721436,2438.615194198029,0.023115753004667606
51,3281.840942051146,2356.5344963296425,76.47982293884232,3205.3611191123036,2356.5344963296425,0.02330393955382936
52,3448.4033462292023,2496.117884996538,76.66844281434753,3371.7349034148547,2496.117884996538,0.022233026452135818
53,3471.9888752843162,2539.887287320593,76.85752787735015,3395.131347406966,2539.887287320593,0.022136455685232113
54,3455.5835913077617,2464.303942773906,77.04707927512804,3378.5365120326337,2464.303942773906,0.022296401530824975
55,3509.5196203729492,2504.7349455512785,77.23709815778858,3432.2825222151605,2504.7349455512785,0.022007883275369965
56,3568.077100882654,2528.9608174688074,77.42758567827559,3490.6495152043785,2528.9608174688074,0.02170008760716575
57,3553.821082916287,2669.7511491118266,77.61854299237638,3476.202539923911,2669.7511491118266,0.021840869639020242
58,3541.304520881006,2640.1072266487813,77.80997125872872,3463.494549622277,2640.1072266487813,0.021972120951454115
59,3611.6324286447543,2667.8372707864614,78.00187163882795,3533.630557005926,2667.8372707864614,0.02159740039439665
60,3622.072602100052,2617.718040076102,78.1942452970339,3543.878356803018,2617.718040076102,0.021588260061848965
61,3441.007451813232,2505.917505617991,76.48265379520983,3364.524798018022,2505.917505617991,0.022226820158412458
62,3483.338099995762,2453.6872961784884,76.67128065237053,3406.6668193433916,2453.6872961784884,0.022010863847085015
63,3272.5098994822706,2313.3872165072144,76.86037271424728,3195.6495267680234,2313.3872165072144,0.023486673860454027
64,3244.1406589494163,2202.9206213145585,77.04993112816042,3167.0907278212558,2202.9206213145585,0.023750490261760814
65,3384.9340127159303,2364.0152937283406,77.23995704425988,3307.6940556716704,2364.0152937283406,0.02281874823972883
66,3223.4054488849633,2379.136629422521,77.43045161553218,3145.9749972694312,2379.136629422521,0.02402131932931888
67,3292.9332169641475,2350.637782363434,77.62141599780739,3215.3118009663403,2350.637782363434,0.02357211971318655
68,3447.1443667993035,2424.05910776194,77.81285134976619,3369.331515449537,2424.05910776194,0.0225731338957573
69,3637.4388869044687,2507.318948083443,78.00475883294688,3559.434128071522,2507.318948083443,0.021444967533002443
70,3629.063580596462,2532.4922649304913,78.19713961175242,3550.8664409847097,2532.4922649304913,0.021547470270250866
71,3520.255473850827,2478.0087068781904,78.3899948534575,3441.8654789973693,2478.0087068781904,0.02226826871962967
72,3464.3208275162638,2321.6372938222507,78.58332572821561,3385.737501788048,2321.6372938222507,0.02268361668585866
73,3431.395913092299,2344.9040224165956,76.55448452726426,3354.8414285650347,2344.9040224165956,0.022310012154288263
74,3494.51243192617,2368.5237979855588,76.74328853838814,3417.7691433877817,2368.5237979855588,0.02196108614101778
75,3565.6951661205935,2412.2667579633585,76.93255819113755,3488.762607929456,2412.2667579633585,0.021575753003821318
76,3610.315553552637,2428.905991442553,77.12229463391034,3533.1932589187268,2428.905991442553,0.02136164927689497
77,3455.209940784486,2404.4053237599446,77.31249901793666,3377.8974417665495,2404.4053237599446,0.02237562994519033
78,3536.5025658351815,2426.955290767605,77.50317249728586,3458.9993933378955,2426.955290767605,0.021915203242326133
79,3552.9388063973174,2490.5810554752943,77.69431622887356,3475.244490168444,2490.5810554752943,0.02186762014841895
80,3635.9978359268903,2623.14891216122,77.88593137246863,3558.1119045544215,2623.14891216122,0.021420785953964662
81,3674.056310450864,2623.8119424706456,78.07801909070027,3595.978291360164,2623.8119424706456,0.021251176490846672
82,3671.3660801860065,2633.8497097983263,78.27058054906502,3593.0954996369414,2633.8497097983263,0.021319198042244674
83,3734.113919713445,2659.1023554484723,78.46361691593384,3655.650302797511,2659.1023554484723,0.021012646802686493
84,3809.0765488175102,2692.90801898864,78.65712936255922,3730.419419454951,2692.90801898864,0.020649920880948833
85,3609.291170272301,2539.382680833233,76.66143211193398,3532.6297381603667,2539.382680833233,0.021240024286029075
86,3766.299157316763,2726.7695332447597,76.85049988465315,3689.4486574321095,2726.7695332447597,0.020404778450845103
87,3735.347815855524,2668.0109906733337,77.0400339495051,3658.307781906019,2668.0109906733337,0.020624594481534315
88,3738.5025330247054,2688.5892229110573,77.23003545649202,3661.2724975682136,2688.5892229110573,0.020658013408916327
89,3879.418725924604,2772.370690278863,77.4205055584523,3801.998220366152,2772.370690278863,0.019956728321457548
90,3930.0179311730617,2827.489147622754,77.61144541106759,3852.406485761994,2827.489147622754,0.019748369287440257
91,4118.225792618147,2993.4769278872914,77.80285617286971,4040.4229364452776,2993.4769278872914,0.01889232404700346
92,4117.133890705303,2906.525099717762,77.99473900524775,4039.1391517000557,2906.525099717762,0.01894394039050465
93,4245.743667409892,3043.237140045928,78.18709507245511,4167.556572337437,3043.237140045928,0.01841540639219819
94,4203.196020041508,2991.4286342440832,78.37992554161654,4124.816094499892,2991.4286342440832,0.01864769693535314
95,4185.042030970363,2985.771640288477,78.57323158273525,4106.468799387628,2985.771640288477,0.018774777170999377
96,4385.953459100504,3095.400451136186,78.76701436869996,4307.186444731804,3095.400451136186,0.017958926172658006
97,4408.066594590972,3044.400379904777,83.71416469207813,4324.352429898894,3044.400379904777,0.018991129760789385
98,4420.285375372372,3009.526624826378,83.92062640597186,4336.3647489664,3009.526624826378,0.018985341279894683
99,4471.7007364469155,2991.6846269766797,84.1275973101497,4387.573139136765,2991.6846269766797,0.018813333509655895
100,4381.384232887086,2956.987652927522,84.33507866041225,4297.049154226674,2956.987652927522,0.019248500970854177
101,4440.991611721067,2979.7581263661314,84.54307171565728,4356.44854000541,2979.7581263661314,0.019036980725773846
102,4625.578746134115,3060.7555498389706,84.7515777378873,4540.8271683962275,3060.7555498389706,0.018322372699571807
103,4705.393940794764,3089.9702997301642,84.9605979922173,4620.433342802547,3089.9702997301642,0.018056001062020974
104,4792.508632140343,3098.0201795163002,85.17013374688236,4707.338498393461,3098.0201795163002,0.017771513894768973
105,4960.774629008003,3263.4764840500707,85.38018627324536,4875.394442734758,3263.4764840500707,0.0172110592918265
106,4906.159977742701,3214.628086302309,85.59075684580472,4820.569220896896,3214.628086302309,0.017445569902754084
107,4919.838958837134,3216.6911794905395,85.80184674220212,4834.037112094931,3216.6911794905395,0.017439970588484968
108,4928.745438017133,3237.2489411238425,86.01345724323025,4842.731980773903,3237.2489411238425,0.017451389674089973
109,4711.415184191185,3106.973523393194,97.54139035286485,4613.87379383832,3106.973523393194,0.020703204141328483
110,4683.334567037275,3163.978579080495,97.7819537354406,4585.552613301834,3163.978579080495,0.020878703482697897
111,4539.446737247314,3085.398161600216,98.0231104122151,4441.423626835099,3085.398161600216,0.021593624969296496
112,4568.803512519657,3030.5848444947546,98.26486184641193,4470.538650673245,3030.5848444947546,0.021507788981763344
113,4799.054947758486,3154.7051877798017,98.50720950486334,4700.547738253623,3154.7051877798017,0.020526376667321447
114,4673.139037228958,3071.896340237989,98.75015485801917,4574.3888823709385,3071.896340237989,0.021131439503793426
115,4665.866041637186,3038.339224745257,98.99369937995581,4566.87234225723,3038.339224745257,0.021216575550295984
116,4537.2558805397275,2935.057685946076,99.23784454838511,4438.018035991342,2935.057685946076,0.021871776060507372
117,4603.966149475217,2904.2406529345076,99.48259184466336,4504.483557630554,2904.2406529345076,0.021608019827861435
118,4842.588873360709,3092.813245288535,99.72794275380028,4742.860930606908,3092.813245288535,0.020593931337514117
119,4703.6119628488805,3107.2301259919263,99.973898764468,4603.638064084413,3107.2301259919263,0.02125470798911649
120,4856.567596329293,3161.94044488139,100.22046136901017,4756.347134960283,3161.94044488139,0.020636068453934238
121,4765.391255633319,3015.2333886362444,118.50900815269,4646.882247480629,3015.2333886362444,0.024868683764968254
122,4959.68326875388,3088.796369435332,118.80128333724267,4840.881985416638,3088.796369435332,0.02395340123545661
123,4987.36374516964,3076.456792744416,119.09427935124819,4868.269465818392,3076.456792744416,0.02387920461317732
124,5020.945882437951,3065.019073862439,119.38799797246647,4901.557884465485,3065.019073862439,0.023777989400375073
125,5034.585054499279,3033.2809021668113,119.68244098304181,4914.902613516238,3033.2809021668113,0.023772056621843084
126,5015.220231124992,3085.0533609215445,119.97761016951381,4895.242620955478,3085.0533609215445,0.023922700228580184
127,5104.073761180599,3180.176354742757,120.27350732282812,4983.800253857771,3180.176354742757,0.023564218103111472
128,5172.734420967949,3175.3843350745624,120.57013423834736,5052.164286729601,3175.3843350745624,0.02330878108677106
129,5288.41996495938,3177.113518257743,120.867492715862,5167.552472243518,3177.113518257743,0.022855123745224415
130,5312.742023334522,3182.1233979258095,121.16558455960127,5191.5764387749205,3182.1233979258095,0.022806600438609697
131,5390.310401726574,3212.7985828994188,121.46441157824412,5268.84599014833,3212.7985828994188,0.02253384360561829
132,5539.621331410037,3264.1190722490205,121.76397558493021,5417.857355825106,3264.1190722490205,0.0219805593740713
133,5535.354597135834,3202.082661988658,135.2123380311294,5400.142259104705,3202.082661988658,0.024427041783572908
134,5638.41105806644,3266.474606702476,135.54580813325808,5502.865249933182,3266.474606702476,0.024039717348976027
135,5735.866780586292,3267.6609052016856,135.8801006626196,5599.986679923672,3267.6609052016856,0.023689549611319704
136,5687.486957518893,3355.3756083731514,136.2152176475414,5551.271739871352,3355.3756083731514,0.023949983299296016
137,5920.014761127253,3398.834885488019,136.55116112135332,5783.4636000059,3398.834885488019,0.023066017000158978
138,5879.7024957447375,3433.072197018372,136.8879331223999,5742.814562622338,3433.072197018372,0.02328143868188374
139,5920.7870330704145,3464.0986704798734,137.22553569405278,5783.561497376361,3464.0986704798734,0.023176907888695003
140,6195.835077071504,3564.974334299942,137.5639708847232,6058.271106186781,3564.974334299942,0.022202652132203553
141,6056.632879845492,3427.1324731913496,137.90324074787426,5918.729639097618,3427.1324731913496,0.022768961481349062
142,5970.025199278992,3367.833286672558,138.24334734203347,5831.781851936958,3367.833286672558,0.02315624184613648
143,5950.272158385821,3431.9035141194545,138.5842927308052,5811.687865655016,3431.9035141194545,0.023290412445335962
144,6220.016017005456,3491.6440883630435,138.92607898288327,6081.089938022573,3491.6440883630435,0.022335324957855555
145,6232.097278952662,3437.2904737554986,157.68396501734017,6074.413313935322,3437.2904737554986,0.025301910088900252
146,6401.659697060512,3527.0344301990285,158.07285621383943,6243.586840846673,3527.0344301990285,0.024692480340125337
147,6594.391988662324,3567.8847405769693,158.46270652094134,6435.929282141383,3567.8847405769693,0.02402991917880902
148,6551.640699390395,3552.0692036529003,158.85351830407137,6392.7871810863235,3552.0692036529003,0.024246372106280507
149,5947.176366410476,3338.4274523361514,159.24529393448879,5787.931072475987,3338.4274523361514,0.02677662206789474
150,5941.58771719155,3367.0620015927016,159.63803578930103,5781.949681402249,3367.0620015927016,0.026867908610925667
