month,gross1,gross5,debt1,debt5,net1,net5,ltv1,ltv5
1,2984.9397093732596,2958.295476693182,56.08798779376038,48.11838094907058,2928.851721579499,2910.1770957441113,0.018790325184000797,0.016265576352385826
2,2812.491711688886,2844.5323429550426,56.22631590264547,48.237053857497465,2756.2653957862403,2796.2952890975453,0.019991637902065807,0.01695781521942071
3,2802.731575092052,2816.578925297171,56.36498516596416,48.35601944533119,2746.3665899260877,2768.2229058518396,0.020110732567785384,0.01716835236215838
4,2637.401358681587,2626.5619725301794,56.50399642509532,48.47527843439814,2580.8973622564918,2578.0866940957812,0.021424117432525005,0.018455790855641484
5,2630.7614639397925,2484.894658739495,56.64335052349289,48.5948315483049,2574.1181134163,2436.29982719119,0.021531161718730887,0.01955609320394912
6,2622.347834399536,2428.837055136238,56.783048306690986,48.71467951244268,2565.564786092845,2380.1223756237955,0.021653515053121523,0.02005679195705048
7,2725.9135913158048,2549.2262368123133,56.92309062230904,48.83482305399168,2668.9905006934955,2500.3914137583215,0.02088220653936141,0.019156723851648925
8,2686.734618702864,2578.8098282497544,57.063478320056944,48.955262901925536,2629.6711403828067,2529.854565347829,0.021238970876701912,0.018983665396975633
9,2483.92822949088,2378.369789327153,57.20421225174021,49.07599978701573,2426.72401723914,2329.293789540137,0.02302973635573404,0.02063430169994695
10,2453.716395908731,2346.375977434571,57.34529327126512,49.19703444183603,2396.371102637466,2297.178942992735,0.02337079108526206,0.02096724263927472
11,2519.191944571915,2374.6451370714312,57.486722234643935,49.31836760076691,2461.705222337271,2325.326769470664,0.02281950859620291,0.020768731643663427
12,2189.4104415537777,2243.3601179554053,57.62850000000005,49.44000000000005,2131.7819415537774,2193.920117955405,0.026321469426766022,0.0220383698561333
13,1949.6826612106026,1785.2050509866956,113.85861522133364,102.30811922352208,1835.824045989269,1682.8969317631736,0.05839853709866621,0.05730888962417827
14,1917.0909780976076,1697.3202665742322,114.13942128237036,102.5604386454243,1802.9515568152372,1594.759827928808,0.05953782193249622,0.06042491842298333
15,2082.6689725870256,1750.1210462817046,114.42091988690731,102.81338035508972,1968.2480527001183,1647.3076659266148,0.054939561395960713,0.0587464396097209
16,2061.3221059722887,1634.0895718039899,114.70311274294357,103.06694588724784,1946.618993229345,1531.022625916742,0.0556454095216915,0.06307300876626044
17,2064.569135493315,1565.5897989066948,114.98600156269063,103.32113678041321,1949.5831339306244,1462.2686621262815,0.05569491453974269,0.06599502427300301
18,2115.45779173608,1621.844028816986,115.26958806258276,103.5759545768948,2000.1882036734971,1518.2680742400912,0.054489193078149374,0.0638630797638696
19,2239.85939867769,1739.6625778488046,115.5538739632874,103.83140082280529,2124.3055247144025,1635.8311770259993,0.051589789087433384,0.05968479298508504
20,2351.9406997621386,1861.5781386796518,115.83886098971564,104.08747706807053,2236.101838772423,1757.4906616115813,0.04925245819396335,0.0559135686573414
21,2367.945805827646,1849.1087381180796,116.12455087103267,104.34418486643887,2251.8212549566133,1744.7645532516408,0.04904020631943675,0.05642944772011331
22,2539.9334716497333,2005.5070184334168,116.41094534066823,104.60152577549063,2423.522526309065,1900.905492657926,0.04583228129398885,0.05215714770083385
23,2544.936704072225,2057.7482585233897,116.69804613632722,104.85950135664757,2428.2386579358977,1952.8887571667422,0.04585498961510335,0.05095837205659609
24,2619.73240012835,2088.6757272404316,116.98585500000014,105.1181131751823,2502.7465451283497,1983.5576140652493,0.04465565070473174,0.05032763669546007
25,2522.9907303887467,1993.9577544626784,173.36236147173412,165.29663357150477,2349.6283689170127,1828.6611208911736,0.06871303940344725,0.08289876412955803
26,2587.3331973709633,2060.4573928811883,173.78991982348705,165.70429966234573,2413.543277547476,1894.7530932188427,0.06716951647359458,0.08042112408383137
27,2644.254391453127,2071.589990233341,174.2185326494788,166.11297116774372,2470.0358588036484,1905.477019065597,0.06588569284884066,0.08018622022258035
28,2561.544515397691,1977.7797625555634,174.6482025503273,166.52265056732227,2386.896312847364,1811.2571119882411,0.06818081883820488,0.08419676129770491
29,2571.6056900829026,2016.9977283326907,175.07893213306434,166.93334034682036,2396.526757949838,1850.0643879858703,0.06808156196272074,0.08276327632992048
