Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2003-01-02,88.8499984741211,91.30000305175781,88.54000091552734,91.06999969482422,59.32896423339844,44516300,0.0,0.0,0.0
2003-01-03,90.91000366210938,91.37999725341797,90.5,91.3499984741211,59.511383056640625,32222600,0.0,0.0,0.0
2003-01-06,91.23999786376953,93.48999786376953,91.16999816894531,92.95999908447266,60.5602912902832,40984500,0.0,0.0,0.0
2003-01-07,92.9000015258789,93.37000274658203,92.19999694824219,92.7300033569336,60.410404205322266,38640400,0.0,0.0,0.0
2003-01-08,92.19999694824219,92.4000015258789,91.05000305175781,91.38999938964844,59.537445068359375,38702200,0.0,0.0,0.0
2003-01-09,91.81999969482422,93.18000030517578,91.41000366210938,92.80999755859375,60.46251678466797,34804900,0.0,0.0,0.0
2003-01-10,91.94999694824219,93.63999938964844,91.80000305175781,93.05999755859375,60.62541961669922,37768900,0.0,0.0,0.0
2003-01-13,93.54000091552734,93.86000061035156,92.44000244140625,93.02999877929688,60.60586929321289,31649900,0.0,0.0,0.0
2003-01-14,92.69000244140625,93.83000183105469,92.41000366210938,93.33000183105469,60.80128479003906,30733000,0.0,0.0,0.0
2003-01-15,93.54000091552734,93.56999969482422,91.91000366210938,92.4000015258789,60.19546127319336,33511800,0.0,0.0,0.0
2003-01-16,92.5,92.93000030517578,91.44999694824219,92.0199966430664,59.9478759765625,44812100,0.0,0.0,0.0
2003-01-17,90.98999786376953,92.30000305175781,90.1500015258789,90.66000366210938,59.061893463134766,35618300,0.0,0.0,0.0
2003-01-21,90.87000274658203,90.91999816894531,88.94999694824219,89.25,58.14329528808594,36826200,0.0,0.0,0.0
2003-01-22,88.7699966430664,89.80000305175781,88.0,88.16999816894531,57.439720153808594,42286500,0.0,0.0,0.0
2003-01-23,88.75,89.37999725341797,87.94999694824219,88.70999908447266,57.79151916503906,55919800,0.0,0.0,0.0
2003-01-24,88.58999633789062,88.68000030517578,86.16999816894531,86.37999725341797,56.27360916137695,68633900,0.0,0.0,0.0
2003-01-27,85.7300033569336,86.80000305175781,84.5,85.19999694824219,55.50490188598633,57884400,0.0,0.0,0.0
2003-01-28,85.62999725341797,86.4000015258789,85.12999725341797,85.83000183105469,55.915313720703125,46929100,0.0,0.0,0.0
2003-01-29,85.41999816894531,87.18000030517578,84.7699966430664,86.4800033569336,56.33877944946289,53712200,0.0,0.0,0.0
2003-01-30,86.79000091552734,86.87999725341797,84.4000015258789,84.43000030517578,55.003257751464844,49845900,0.0,0.0,0.0
2003-01-31,84.1500015258789,86.20999908447266,84.1500015258789,86.05999755859375,56.06513977050781,55317000,0.0,0.0,0.0
2003-02-03,86.13999938964844,86.80999755859375,85.91999816894531,86.2300033569336,56.1758918762207,39696000,0.0,0.0,0.0
2003-02-04,85.30999755859375,85.75,84.30000305175781,85.37999725341797,55.622169494628906,43633400,0.0,0.0,0.0
2003-02-05,85.75,86.54000091552734,84.4800033569336,84.8499984741211,55.276893615722656,55270600,0.0,0.0,0.0
2003-02-06,84.37000274658203,84.88999938964844,83.6500015258789,84.44999694824219,55.01627731323242,53638000,0.0,0.0,0.0
2003-02-07,84.91000366210938,84.98999786376953,82.97000122070312,83.41999816894531,54.345245361328125,43165000,0.0,0.0,0.0
2003-02-10,83.45999908447266,84.12999725341797,82.6500015258789,84.01000213623047,54.72964096069336,45455900,0.0,0.0,0.0
2003-02-11,84.37000274658203,84.87999725341797,82.83000183105469,83.43000030517578,54.351810455322266,46861000,0.0,0.0,0.0
2003-02-12,83.16000366210938,83.62000274658203,82.08999633789062,82.0999984741211,53.48533630371094,35873600,0.0,0.0,0.0
2003-02-13,82.1500015258789,82.66000366210938,81.0,82.3499984741211,53.648216247558594,57934100,0.0,0.0,0.0
2003-02-14,82.37000274658203,84.19999694824219,81.81999969482422,84.1500015258789,54.82087326049805,59580900,0.0,0.0,0.0
2003-02-18,84.52999877929688,85.80000305175781,84.38999938964844,85.62999725341797,55.785011291503906,39492700,0.0,0.0,0.0
2003-02-19,85.31999969482422,85.47000122070312,84.27999877929688,85.18000030517578,55.49186706542969,31432000,0.0,0.0,0.0
2003-02-20,85.20999908447266,85.41999816894531,84.05000305175781,84.33000183105469,54.938140869140625,29280100,0.0,0.0,0.0
2003-02-21,84.37999725341797,85.73999786376953,83.45999908447266,85.18000030517578,55.49186706542969,60955800,0.0,0.0,0.0
2003-02-24,84.93000030517578,85.0,83.58999633789062,83.80000305175781,54.59281539916992,30628600,0.0,0.0,0.0
2003-02-25,82.94999694824219,84.48999786376953,82.22000122070312,84.47000122070312,55.029319763183594,56770600,0.0,0.0,0.0
2003-02-26,84.0199966430664,84.52999877929688,83.08000183105469,83.23999786376953,54.22802734375,37787200,0.0,0.0,0.0
2003-02-27,83.69999694824219,84.75,83.16000366210938,84.33999633789062,54.94464874267578,51126000,0.0,0.0,0.0
2003-02-28,84.47000122070312,85.2300033569336,84.16000366210938,84.9000015258789,55.3094482421875,43666800,0.0,0.0,0.0
2003-03-03,85.26000213623047,85.77999877929688,83.72000122070312,84.08999633789062,54.78175735473633,42923100,0.0,0.0,0.0
2003-03-04,83.94999694824219,84.01000213623047,82.6500015258789,82.75,53.90878677368164,31440500,0.0,0.0,0.0
2003-03-05,82.61000061035156,83.54000091552734,82.36000061035156,83.44999694824219,54.364830017089844,43974700,0.0,0.0,0.0
2003-03-06,82.87000274658203,83.5199966430664,82.47000122070312,82.75,53.90878677368164,41217700,0.0,0.0,0.0
2003-03-07,81.61000061035156,83.98999786376953,81.43000030517578,83.31999969482422,54.280120849609375,63538000,0.0,0.0,0.0
2003-03-10,82.5999984741211,82.86000061035156,81.0999984741211,81.31999969482422,52.97719955444336,41014100,0.0,0.0,0.0
2003-03-11,81.4800033569336,82.0,80.4800033569336,80.5199966430664,52.45603942871094,48102700,0.0,0.0,0.0
2003-03-12,80.37999725341797,81.0999984741211,79.37999725341797,81.05999755859375,52.80781555175781,62459800,0.0,0.0,0.0
2003-03-13,82.18000030517578,83.91000366210938,81.52999877929688,83.86000061035156,54.63192367553711,72117800,0.0,0.0,0.0
2003-03-14,84.19999694824219,84.7699966430664,83.3499984741211,84.12999725341797,54.80781173706055,63951800,0.0,0.0,0.0
2003-03-17,83.45999908447266,86.94999694824219,83.22000122070312,86.77999877929688,56.53422164916992,88217500,0.0,0.0,0.0
2003-03-18,87.1500015258789,87.3499984741211,86.27999877929688,87.29000091552734,56.8664436340332,50792300,0.0,0.0,0.0
2003-03-19,87.27999877929688,88.16000366210938,86.68000030517578,87.95999908447266,57.30293655395508,49630800,0.0,0.0,0.0
2003-03-20,87.33000183105469,88.58999633789062,86.3499984741211,88.1500015258789,57.426727294921875,67321600,0.0,0.0,0.0
2003-03-21,88.80000305175781,89.87999725341797,87.93000030517578,89.66999816894531,58.652469635009766,71165300,0.354,0.0,0.0
2003-03-24,88.0199966430664,88.13999938964844,86.3499984741211,86.69000244140625,56.703285217285156,65398900,0.0,0.0,0.0
2003-03-25,86.73999786376953,88.26000213623047,86.44000244140625,87.5199966430664,57.24620819091797,61040100,0.0,0.0,0.0
2003-03-26,87.55999755859375,87.8499984741211,86.80000305175781,87.08000183105469,56.95839309692383,45740800,0.0,0.0,0.0
2003-03-27,86.4000015258789,87.66000366210938,85.98999786376953,87.1500015258789,57.004173278808594,53120200,0.0,0.0,0.0
2003-03-28,86.47000122070312,87.27999877929688,86.25,86.70999908447266,56.716339111328125,32583000,0.0,0.0,0.0
2003-03-31,85.3499984741211,86.58999633789062,84.4000015258789,84.73999786376953,55.427818298339844,61119500,0.0,0.0,0.0
2003-04-01,85.25,86.38999938964844,84.91000366210938,86.04000091552734,56.278133392333984,53574000,0.0,0.0,0.0
2003-04-02,87.54000091552734,88.7699966430664,87.5,88.12000274658203,57.63865661621094,50431200,0.0,0.0,0.0
2003-04-03,88.87000274658203,88.98999786376953,87.6500015258789,87.69999694824219,57.36391067504883,48755500,0.0,0.0,0.0
2003-04-04,88.43000030517578,88.58999633789062,87.62000274658203,88.22000122070312,57.70407485961914,36250100,0.0,0.0,0.0
2003-04-07,90.33999633789062,90.8499984741211,87.97000122070312,88.05000305175781,57.59284591674805,69776200,0.0,0.0,0.0
2003-04-08,88.30000305175781,88.6500015258789,87.70999908447266,88.19000244140625,57.6844367980957,39712700,0.0,0.0,0.0
2003-04-09,88.36000061035156,89.0999984741211,86.7699966430664,87.02999877929688,56.925655364990234,55647300,0.0,0.0,0.0
2003-04-10,87.08999633789062,87.62999725341797,85.70999908447266,87.51000213623047,57.23963165283203,41812400,0.0,0.0,0.0
2003-04-11,88.16000366210938,88.69999694824219,86.86000061035156,87.1500015258789,57.004173278808594,47730100,0.0,0.0,0.0
2003-04-14,87.47000122070312,89.0,87.0,88.94999694824219,58.181522369384766,36711700,0.0,0.0,0.0
2003-04-15,88.83999633789062,89.77999877929688,88.41999816894531,89.77999877929688,58.72441101074219,49709800,0.0,0.0,0.0
2003-04-16,89.91000366210938,90.05999755859375,88.02999877929688,88.25,57.723690032958984,51788000,0.0,0.0,0.0
2003-04-17,88.30000305175781,89.72000122070312,88.19000244140625,89.55999755859375,58.580528259277344,37403100,0.0,0.0,0.0
2003-04-21,89.86000061035156,90.16000366210938,89.05999755859375,89.6500015258789,58.63941955566406,32052700,0.0,0.0,0.0
2003-04-22,89.0999984741211,91.55999755859375,88.88999938964844,91.33999633789062,59.74478530883789,59763600,0.0,0.0,0.0
2003-04-23,91.62000274658203,92.3499984741211,91.23999786376953,92.18000030517578,60.294246673583984,44227100,0.0,0.0,0.0
2003-04-24,91.52999877929688,92.08000183105469,90.95999908447266,91.36000061035156,59.757896423339844,49692400,0.0,0.0,0.0
2003-04-25,91.30000305175781,91.47000122070312,90.0199966430664,90.2300033569336,59.018795013427734,43917200,0.0,0.0,0.0
2003-04-28,90.44000244140625,92.19000244140625,90.30000305175781,91.79000091552734,60.03915786743164,46432900,0.0,0.0,0.0
2003-04-29,92.13999938964844,92.80000305175781,91.4000015258789,92.11000061035156,60.248470306396484,52017100,0.0,0.0,0.0
2003-04-30,91.91000366210938,92.56999969482422,91.41000366210938,91.91000366210938,60.117645263671875,48709100,0.0,0.0,0.0
2003-05-01,91.91999816894531,92.7300033569336,90.5,91.9000015258789,60.111087799072266,50240400,0.0,0.0,0.0
2003-05-02,91.55999755859375,93.47000122070312,91.48999786376953,93.20999908447266,60.96796417236328,50201500,0.0,0.0,0.0
2003-05-05,93.47000122070312,93.77999877929688,92.5,93.02999877929688,60.85022735595703,35437800,0.0,0.0,0.0
2003-05-06,93.04000091552734,94.37999725341797,93.0,93.91000366210938,61.42582321166992,44401000,0.0,0.0,0.0
2003-05-07,93.41999816894531,94.13999938964844,92.97000122070312,93.38999938964844,61.08566665649414,41413100,0.0,0.0,0.0
2003-05-08,92.5199966430664,93.33000183105469,92.27999877929688,92.44999694824219,60.47090148925781,40570700,0.0,0.0,0.0
2003-05-09,92.83000183105469,93.80000305175781,92.61000061035156,93.7300033569336,61.30808639526367,33608100,0.0,0.0,0.0
2003-05-12,93.5,95.12000274658203,93.27999877929688,94.87999725341797,62.060298919677734,35662300,0.0,0.0,0.0
2003-05-13,94.52999877929688,95.18000030517578,94.26000213623047,94.70999908447266,61.9490966796875,39253600,0.0,0.0,0.0
2003-05-14,95.08999633789062,95.23999786376953,93.91000366210938,94.51000213623047,61.81827926635742,32195100,0.0,0.0,0.0
2003-05-15,94.88999938964844,95.33000183105469,94.25,95.11000061035156,62.21074676513672,43879200,0.0,0.0,0.0
2003-05-16,94.88999938964844,95.44999694824219,94.26000213623047,94.87000274658203,62.05376052856445,38905000,0.0,0.0,0.0
2003-05-19,94.1500015258789,94.41999816894531,92.33000183105469,92.6500015258789,60.60166549682617,41606000,0.0,0.0,0.0
2003-05-20,92.81999969482422,93.02999877929688,91.58999633789062,92.45999908447266,60.47740936279297,55404600,0.0,0.0,0.0
2003-05-21,92.11000061035156,92.87999725341797,91.91000366210938,92.6500015258789,60.60166549682617,49333800,0.0,0.0,0.0
2003-05-22,92.94999694824219,94.05000305175781,92.68000030517578,93.56999969482422,61.20338821411133,38421800,0.0,0.0,0.0
2003-05-23,93.52999877929688,93.9800033569336,93.13999938964844,93.76000213623047,61.32772445678711,26155900,0.0,0.0,0.0
2003-05-27,93.30000305175781,95.83999633789062,93.06999969482422,95.4000015258789,62.40040969848633,43719200,0.0,0.0,0.0
2003-05-28,95.8499984741211,96.47000122070312,95.43000030517578,95.66999816894531,62.577022552490234,37727100,0.0,0.0,0.0
2003-05-29,95.87999725341797,96.81999969482422,95.08000183105469,95.41999816894531,62.41348648071289,50844200,0.0,0.0,0.0
2003-05-30,95.9000015258789,97.08999633789062,95.55999755859375,96.94999694824219,63.41423797607422,52529500,0.0,0.0,0.0
2003-06-02,97.52999877929688,98.44999694824219,96.66999816894531,97.3499984741211,63.67593002319336,50305500,0.0,0.0,0.0
2003-06-03,97.1500015258789,97.83999633789062,96.8499984741211,97.75,63.937564849853516,38254500,0.0,0.0,0.0
2003-06-04,97.66000366210938,99.3499984741211,97.56999969482422,99.16000366210938,64.85982513427734,49360700,0.0,0.0,0.0
2003-06-05,98.58000183105469,99.6500015258789,98.2699966430664,99.6500015258789,65.18032836914062,46262400,0.0,0.0,0.0
2003-06-06,100.4000015258789,101.4000015258789,99.12999725341797,99.26000213623047,64.92520141601562,60356800,0.0,0.0,0.0
2003-06-09,98.7699966430664,99.0999984741211,97.7699966430664,98.25,64.26455688476562,37808500,0.0,0.0,0.0
2003-06-10,98.45999908447266,99.26000213623047,98.19000244140625,99.25,64.918701171875,29965900,0.0,0.0,0.0
2003-06-11,99.16000366210938,100.38999938964844,98.70999908447266,100.30000305175781,65.60546112060547,37610200,0.0,0.0,0.0
2003-06-12,100.75,100.9000015258789,99.62000274658203,100.61000061035156,65.80824279785156,36442000,0.0,0.0,0.0
2003-06-13,100.61000061035156,100.75,98.94999694824219,99.55999755859375,65.12146759033203,48628300,0.0,0.0,0.0
2003-06-16,99.95999908447266,101.69999694824219,99.80000305175781,101.66000366210938,66.49504852294922,36326300,0.0,0.0,0.0
2003-06-17,102.06999969482422,102.18000030517578,101.2300033569336,101.66000366210938,66.49504852294922,36801800,0.0,0.0,0.0
2003-06-18,101.29000091552734,102.13999938964844,101.0,101.56999969482422,66.43620300292969,35521000,0.0,0.0,0.0
2003-06-19,101.63999938964844,101.7300033569336,99.83999633789062,100.0199966430664,65.42231750488281,43551700,0.0,0.0,0.0
2003-06-20,100.38999938964844,100.5,99.41999816894531,99.44000244140625,65.27793884277344,41545000,0.36,0.0,0.0
2003-06-23,99.44999694824219,99.66000366210938,97.91999816894531,98.41999816894531,64.60833740234375,34237500,0.0,0.0,0.0
2003-06-24,98.22000122070312,99.08999633789062,98.0199966430664,98.5199966430664,64.67395782470703,36213600,0.0,0.0,0.0
2003-06-25,98.52999877929688,99.44000244140625,97.52999877929688,97.52999877929688,64.02405548095703,47743400,0.0,0.0,0.0
2003-06-26,97.77999877929688,98.9800033569336,96.95999908447266,98.80000305175781,64.85779571533203,33477300,0.0,0.0,0.0
2003-06-27,98.75,99.19000244140625,97.58000183105469,97.66000366210938,64.10942840576172,54208800,0.0,0.0,0.0
2003-06-30,98.22000122070312,98.66999816894531,97.47000122070312,97.62999725341797,64.08975219726562,33349000,0.0,0.0,0.0
2003-07-01,97.25,98.8499984741211,96.43000030517578,98.52999877929688,64.6805191040039,51322800,0.0,0.0,0.0
2003-07-02,98.7699966430664,99.79000091552734,98.56999969482422,99.7699966430664,65.49453735351562,34662100,0.0,0.0,0.0
2003-07-03,99.06999969482422,99.8499984741211,97.9000015258789,98.73999786376953,64.81838989257812,30792800,0.0,0.0,0.0
2003-07-07,99.6500015258789,100.9000015258789,99.6500015258789,100.69999694824219,66.10506439208984,31391100,0.0,0.0,0.0
2003-07-08,100.5,101.29000091552734,100.16999816894531,101.1500015258789,66.40045928955078,30952500,0.0,0.0,0.0
2003-07-09,100.91999816894531,101.4000015258789,100.02999877929688,100.58000183105469,66.02631378173828,36528500,0.0,0.0,0.0
2003-07-10,99.83999633789062,100.04000091552734,98.62999725341797,99.30000305175781,65.18602752685547,49777700,0.0,0.0,0.0
2003-07-11,99.38999938964844,100.44999694824219,99.38999938964844,100.23999786376953,65.80309295654297,39976300,0.0,0.0,0.0
2003-07-14,101.19999694824219,101.9000015258789,100.44999694824219,100.7300033569336,66.124755859375,42114900,0.0,0.0,0.0
2003-07-15,101.37999725341797,101.45999908447266,99.94999694824219,100.51000213623047,65.98033142089844,42573600,0.0,0.0,0.0
2003-07-16,100.80999755859375,100.87000274658203,99.2300033569336,99.91999816894531,65.59300231933594,39894200,0.0,0.0,0.0
2003-07-17,99.1500015258789,99.87999725341797,98.16000366210938,98.5,64.66084289550781,52253500,0.0,0.0,0.0
